	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Chg/DChg_Efficiency	Engy_Chg	Engy_DChg	REngy_Chg	REngy_Dchg	CC_Chg_Ratio	CC_Chg_Cap	Plat_Cap	Plat_Capacity_Density	Plat_Efficiency	Plat_Time	Capacitance_Chg	Capacitance_DChg	IR	Mid_value_Voltage	Discharge_Fading_Ratio	Charge_Time	Discharge_Time	Charge_IR	Discharge_IR	End_Temperature	Net_Cap_DChg	Net_Engy_DChg
75	72.36	72.32	72357.24	72318.30	99.946	256.97	253.84	256970.25	253836.58	88.50	64.04	17.46	17460.57	24.14	0:29:58.000	426536.88	403511.89	0.000	3550.0	368.90	2:11:15.000	2:04:07.000	572.082	137.672	0.0	-0.04	-3.13	
76	72.32	72.24	72322.93	72244.06	99.891	256.84	253.57	256838.66	253567.85	88.54	64.03	17.46	17460.09	24.17	0:29:58.000	426753.88	403097.64	0.000	3550.0	368.52	2:11:03.000	2:04:00.000	576.455	130.228	0.0	-0.08	-3.27	
77	72.35	72.25	72346.50	72253.09	99.871	256.93	253.61	256925.95	253607.65	88.54	64.06	17.46	17456.72	24.16	0:29:58.000	427102.98	402773.51	0.000	3550.0	368.57	2:11:17.000	2:04:02.000	580.830	130.620	0.0	-0.09	-3.32	
78	72.33	72.27	72332.65	72268.85	99.912	256.87	253.66	256870.43	253660.84	88.53	64.04	17.47	17466.67	24.17	0:29:59.000	426182.57	403298.50	0.000	3550.0	368.65	2:11:12.000	2:04:03.000	572.164	140.245	0.0	-0.06	-3.21	
79	72.31	72.30	72314.41	72297.77	99.977	256.80	253.76	256803.38	253757.68	88.57	64.05	17.46	17459.83	24.15	0:29:58.000	425866.01	402835.43	0.000	3550.0	368.80	2:11:05.000	2:04:05.000	563.662	130.163	0.0	-0.02	-3.05	
80	72.25	72.26	72246.11	72263.66	100.024	256.61	253.65	256612.49	253645.12	91.24	65.92	17.46	17459.87	24.16	0:29:58.000	424768.89	402645.36	0.000	3550.0	368.62	2:11:20.000	2:04:02.000	557.780	130.424	0.0	0.02	-2.97	
81	72.31	72.29	72310.24	72291.26	99.974	256.80	253.74	256804.33	253741.56	88.52	64.01	17.47	17468.69	24.16	0:29:59.000	425841.42	403173.54	0.000	3550.0	368.76	2:11:21.000	2:04:05.000	572.164	130.261	0.0	-0.02	-3.06	
82	72.34	72.25	72338.79	72246.43	99.872	256.89	253.58	256888.39	253583.46	88.55	64.06	17.45	17449.36	24.15	0:29:57.000	426009.54	403110.86	0.000	3549.7	368.53	2:11:05.000	2:04:00.000	563.662	130.358	0.0	-0.09	-3.30	
83	72.30	72.28	72302.40	72279.20	99.968	256.76	253.70	256762.54	253700.90	88.56	64.03	17.46	17460.28	24.16	0:29:58.000	425586.40	403106.32	0.000	3549.7	368.70	2:11:08.000	2:04:03.000	554.920	130.883	0.0	-0.02	-3.06	
84	72.32	72.26	72316.98	72260.32	99.922	256.81	253.63	256808.87	253634.04	88.56	64.04	17.45	17450.84	24.15	0:29:57.000	425185.56	402813.81	0.000	3549.7	368.60	2:11:10.000	2:04:01.000	549.199	130.588	0.0	-0.06	-3.17	
