Cycle_ID	Step_ID	Step_Type	Step_Time	Capacity	Capacity_Density	Energy	CmpEngergy	Capacitance	Start_Voltage	End_Voltage	Start_Temperature	End_Temperature	End_Capacity	Charge_Mid-Vol	Discharge_Mid-Vol	DCIR	ChargeCap	DischargeCap	Engy_Chg	Engy_DChg	Net_DischargeCap	Net_Engy_DChg
970	1939	CCCV_Chg  	2:08:54.000	70.20	70197.41	249.28	249283.02	398220.39	3016.8	3651.4	0.0	0.0	70.20	3587.8	0.0	253.038	70.20	0.00	249.28	0.00	-70.20	-249.28	
970	1940	CC_DChg  	2:00:26.000	70.21	70212.63	246.68	246682.44	390673.06	3645.5	2998.5	0.0	0.0	70.21	0.0	3545.0	148.055	0.00	70.21	0.00	246.68	70.21	246.68	
971	1941	CCCV_Chg  	2:09:00.000	70.26	70257.00	249.50	249496.62	398119.30	3016.1	3651.4	0.0	0.0	70.26	3587.8	0.0	251.572	70.26	0.00	249.50	0.00	-70.26	-249.50	
971	1942	CC_DChg  	2:00:27.000	70.22	70222.35	246.72	246719.19	391089.82	3645.8	2999.4	0.0	0.0	70.22	0.0	3545.3	140.527	0.00	70.22	0.00	246.72	70.22	246.72	
972	1943	CCCV_Chg  	2:08:53.000	70.23	70228.10	249.40	249396.54	398394.52	3016.8	3651.4	0.0	0.0	70.23	3587.8	0.0	248.714	70.23	0.00	249.40	0.00	-70.23	-249.40	
972	1944	CC_DChg  	2:00:26.000	70.21	70212.63	246.69	246686.57	391217.27	3645.5	2999.4	0.0	0.0	70.21	0.0	3545.0	147.759	0.00	70.21	0.00	246.69	70.21	246.69	
973	1945	CCCV_Chg  	2:08:50.000	70.21	70207.19	249.32	249316.56	398464.29	3016.8	3651.1	0.0	0.0	70.21	3587.8	0.0	248.714	70.21	0.00	249.32	0.00	-70.21	-249.32	
973	1946	CC_DChg  	2:00:23.000	70.18	70183.07	246.57	246573.04	390871.06	3645.5	2999.1	0.0	0.0	70.18	0.0	3545.0	140.105	0.00	70.18	0.00	246.57	70.18	246.57	
974	1947	CCCV_Chg  	2:08:48.000	70.18	70180.14	249.22	249216.77	397871.69	3016.1	3651.1	0.0	0.0	70.18	3587.5	0.0	242.996	70.18	0.00	249.22	0.00	-70.18	-249.22	
974	1948	CC_DChg  	2:00:24.000	70.19	70188.97	246.59	246591.83	391267.08	3645.5	2999.7	0.0	0.0	70.19	0.0	3544.7	140.281	0.00	70.19	0.00	246.59	70.19	246.59	
975	1949	CCCV_Chg  	2:08:55.000	70.21	70209.61	249.32	249319.96	398038.72	3016.1	3651.1	0.0	0.0	70.21	3587.8	0.0	234.420	70.21	0.00	249.32	0.00	-70.21	-249.32	
975	1950	CC_DChg  	2:00:26.000	70.21	70207.29	246.65	246654.44	391187.53	3645.5	2999.4	0.0	0.0	70.21	0.0	3544.7	140.351	0.00	70.21	0.00	246.65	70.21	246.65	
976	1951	CCCV_Chg  	2:08:47.000	70.19	70193.73	249.27	249268.73	398576.40	3017.1	3651.1	0.0	0.0	70.19	3587.8	0.0	253.002	70.19	0.00	249.27	0.00	-70.19	-249.27	
976	1952	CC_DChg  	2:00:26.000	70.21	70212.52	246.68	246681.97	391398.37	3645.5	2999.7	0.0	0.0	70.21	0.0	3544.7	140.281	0.00	70.21	0.00	246.68	70.21	246.68	
977	1953	CCCV_Chg  	2:08:51.000	70.20	70195.13	249.27	249269.89	397956.65	3016.4	3651.4	0.0	0.0	70.20	3587.8	0.0	238.708	70.20	0.00	249.27	0.00	-70.20	-249.27	
977	1954	CC_DChg  	2:00:24.000	70.19	70193.14	246.61	246609.20	391472.18	3645.5	3000.0	0.0	0.0	70.19	0.0	3545.0	147.685	0.00	70.19	0.00	246.61	70.19	246.61	
978	1955	CCCV_Chg  	2:08:55.000	70.19	70191.03	249.26	249264.39	398561.06	3017.1	3651.1	0.0	0.0	70.19	3587.8	0.0	244.425	70.19	0.00	249.26	0.00	-70.19	-249.26	
978	1956	CC_DChg  	2:00:20.000	70.15	70154.30	246.48	246479.29	391255.60	3645.5	3000.0	0.0	0.0	70.15	0.0	3545.0	140.245	0.00	70.15	0.00	246.48	70.15	246.48	
979	1957	CCCV_Chg  	2:08:32.000	70.11	70110.98	248.97	248971.26	398106.50	3017.1	3651.1	0.0	0.0	70.11	3587.8	0.0	244.425	70.11	0.00	248.97	0.00	-70.11	-248.97	
979	1958	CC_DChg  	2:00:21.000	70.16	70163.18	246.50	246500.07	391123.32	3645.5	2999.7	0.0	0.0	70.16	0.0	3544.7	140.105	0.00	70.16	0.00	246.50	70.16	246.50	
980	1959	CCCV_Chg  	2:09:04.000	70.19	70186.33	249.24	249240.29	397718.86	3015.8	3651.1	0.0	0.0	70.19	3587.8	0.0	230.132	70.19	0.00	249.24	0.00	-70.19	-249.24	
980	1960	CC_DChg  	2:00:20.000	70.15	70148.09	246.44	246443.20	391039.22	3645.5	2999.7	0.0	0.0	70.15	0.0	3544.7	140.281	0.00	70.15	0.00	246.44	70.15	246.44	
981	1961	CCCV_Chg  	2:09:03.000	70.20	70199.84	249.28	249284.48	398171.44	3016.4	3651.1	0.0	0.0	70.20	3587.5	0.0	238.776	70.20	0.00	249.28	0.00	-70.20	-249.28	
981	1962	CC_DChg  	2:00:21.000	70.16	70162.55	246.50	246502.36	390938.20	3645.5	2999.4	0.0	0.0	70.16	0.0	3544.7	140.245	0.00	70.16	0.00	246.50	70.16	246.50	
982	1963	CCCV_Chg  	2:08:48.000	70.18	70182.77	249.23	249228.32	398514.15	3017.1	3651.1	0.0	0.0	70.18	3587.8	0.0	253.002	70.18	0.00	249.23	0.00	-70.18	-249.23	
982	1964	CC_DChg  	2:00:22.000	70.17	70173.71	246.54	246544.84	391363.84	3645.5	3000.0	0.0	0.0	70.17	0.0	3544.7	140.175	0.00	70.17	0.00	246.54	70.17	246.54	
983	1965	CCCV_Chg  	2:08:53.000	70.18	70176.98	249.21	249208.90	398292.78	3017.1	3651.4	0.0	0.0	70.18	3587.8	0.0	244.425	70.18	0.00	249.21	0.00	-70.18	-249.21	
983	1966	CC_DChg  	2:00:24.000	70.19	70193.04	246.61	246610.68	391108.11	3645.5	2999.4	0.0	0.0	70.19	0.0	3544.7	147.611	0.00	70.19	0.00	246.61	70.19	246.61	
984	1967	CCCV_Chg  	2:08:52.000	70.16	70164.43	249.17	249167.50	397407.08	3015.8	3651.4	0.0	0.0	70.16	3587.8	0.0	234.420	70.16	0.00	249.17	0.00	-70.16	-249.17	
984	1968	CC_DChg  	2:00:24.000	70.19	70192.97	246.62	246617.15	391107.71	3645.5	2999.4	0.0	0.0	70.19	0.0	3545.0	147.648	0.00	70.19	0.00	246.62	70.19	246.62	
985	1969	CCCV_Chg  	2:08:53.000	70.18	70182.18	249.22	249224.31	398322.34	3016.8	3651.1	0.0	0.0	70.18	3587.8	0.0	248.749	70.18	0.00	249.22	0.00	-70.18	-249.22	
985	1970	CC_DChg  	2:00:21.000	70.16	70163.64	246.51	246509.44	390944.30	3645.5	2999.4	0.0	0.0	70.16	0.0	3545.0	140.421	0.00	70.16	0.00	246.51	70.16	246.51	
986	1971	CCCV_Chg  	2:08:55.000	70.21	70206.64	249.31	249311.68	398461.14	3017.1	3651.4	0.0	0.0	70.21	3587.8	0.0	253.038	70.21	0.00	249.31	0.00	-70.21	-249.31	
986	1972	CC_DChg  	2:00:19.000	70.14	70137.13	246.41	246410.56	390978.10	3645.5	2999.7	0.0	0.0	70.14	0.0	3544.7	148.316	0.00	70.14	0.00	246.41	70.14	246.41	
987	1973	CCCV_Chg  	2:08:51.000	70.11	70112.94	248.97	248974.08	398117.63	3017.1	3651.1	0.0	0.0	70.11	3587.5	0.0	248.749	70.11	0.00	248.97	0.00	-70.11	-248.97	
987	1974	CC_DChg  	2:00:14.000	70.08	70081.60	246.22	246215.58	390487.17	3645.5	2999.4	0.0	0.0	70.08	0.0	3544.7	140.105	0.00	70.08	0.00	246.22	70.08	246.22	
988	1975	CCCV_Chg  	2:08:53.000	70.14	70142.46	249.08	249080.35	397470.25	3015.8	3651.1	0.0	0.0	70.14	3587.8	0.0	234.453	70.14	0.00	249.08	0.00	-70.14	-249.08	
988	1976	CC_DChg  	2:00:21.000	70.16	70159.08	246.49	246486.53	391100.50	3645.5	2999.7	0.0	0.0	70.16	0.0	3544.7	140.210	0.00	70.16	0.00	246.49	70.16	246.49	
989	1977	CCCV_Chg  	2:08:55.000	70.13	70133.43	249.05	249052.84	398234.01	3017.1	3651.1	0.0	0.0	70.13	3587.5	0.0	248.785	70.13	0.00	249.05	0.00	-70.13	-249.05	
989	1978	CC_DChg  	2:00:23.000	70.18	70176.85	246.54	246544.10	390473.99	3645.5	2998.5	0.0	0.0	70.18	0.0	3544.7	140.105	0.00	70.18	0.00	246.54	70.18	246.54	
990	1979	CCCV_Chg  	2:08:54.000	70.14	70139.64	249.07	249068.98	397266.66	3015.5	3651.1	0.0	0.0	70.14	3587.5	0.0	243.031	70.14	0.00	249.07	0.00	-70.14	-249.07	
990	1980	CC_DChg  	2:00:22.000	70.16	70161.29	246.49	246490.26	391112.81	3645.5	2999.7	0.0	0.0	70.16	0.0	3544.7	140.105	0.00	70.16	0.00	246.49	70.16	246.49	
991	1981	CCCV_Chg  	2:08:48.000	70.14	70137.22	249.06	249057.96	397628.31	3016.1	3651.1	0.0	0.0	70.14	3587.8	0.0	234.487	70.14	0.00	249.06	0.00	-70.14	-249.06	
991	1982	CC_DChg  	2:00:18.000	70.12	70121.21	246.34	246344.83	390707.86	3645.5	2999.4	0.0	0.0	70.12	0.0	3544.7	140.175	0.00	70.12	0.00	246.34	70.12	246.34	
992	1983	CCCV_Chg  	2:08:32.000	70.13	70132.59	249.04	249040.07	398292.05	3016.8	3650.7	0.0	0.0	70.13	3587.5	0.0	248.785	70.13	0.00	249.04	0.00	-70.13	-249.04	
992	1984	CC_DChg  	2:00:19.000	70.13	70129.02	246.37	246371.33	391296.45	3645.2	3000.0	0.0	0.0	70.13	0.0	3544.7	137.638	0.00	70.13	0.00	246.37	70.13	246.37	
993	1985	CCCV_Chg  	2:08:37.000	70.11	70111.53	248.96	248963.36	397921.36	3016.8	3651.1	0.0	0.0	70.11	3587.8	0.0	240.206	70.11	0.00	248.96	0.00	-70.11	-248.96	
993	1986	CC_DChg  	2:00:18.000	70.13	70129.28	246.37	246373.68	390752.86	3645.5	2999.4	0.0	0.0	70.13	0.0	3544.7	140.316	0.00	70.13	0.00	246.37	70.13	246.37	
994	1987	CCCV_Chg  	2:08:38.000	70.10	70102.47	248.94	248941.75	397243.68	3015.8	3651.1	0.0	0.0	70.10	3587.8	0.0	234.453	70.10	0.00	248.94	0.00	-70.10	-248.94	
994	1988	CC_DChg  	2:00:19.000	70.14	70137.36	246.40	246404.67	391161.08	3645.5	3000.0	0.0	0.0	70.14	0.0	3544.7	140.210	0.00	70.14	0.00	246.40	70.14	246.40	
995	1989	CCCV_Chg  	2:08:51.000	70.16	70161.30	249.15	249145.79	397764.83	3016.1	3651.1	0.0	0.0	70.16	3587.5	0.0	230.197	70.16	0.00	249.15	0.00	-70.16	-249.15	
995	1990	CC_DChg  	2:00:23.000	70.17	70167.41	246.51	246511.73	390965.28	3645.5	2999.4	0.0	0.0	70.17	0.0	3544.7	140.175	0.00	70.17	0.00	246.51	70.17	246.51	
996	1991	CCCV_Chg  	2:08:57.000	70.16	70160.96	249.15	249151.58	398390.32	3017.1	3651.1	0.0	0.0	70.16	3587.8	0.0	253.074	70.16	0.00	249.15	0.00	-70.16	-249.15	
996	1992	CC_DChg  	2:00:18.000	70.12	70121.68	246.35	246351.64	390892.01	3645.5	2999.7	0.0	0.0	70.12	0.0	3544.7	140.210	0.00	70.12	0.00	246.35	70.12	246.35	
997	1993	CCCV_Chg  	2:08:38.000	70.12	70123.74	249.01	249012.86	398619.07	3017.4	3650.7	0.0	0.0	70.12	3587.5	0.0	253.074	70.12	0.00	249.01	0.00	-70.12	-249.01	
997	1994	CC_DChg  	2:00:17.000	70.11	70109.43	246.30	246304.26	390823.69	3645.2	2999.4	0.0	0.0	70.11	0.0	3544.7	137.603	0.00	70.11	0.00	246.30	70.11	246.30	
998	1995	CCCV_Chg  	2:08:47.000	70.13	70127.88	249.02	249022.12	398014.13	3016.4	3650.7	0.0	0.0	70.13	3587.5	0.0	243.065	70.13	0.00	249.02	0.00	-70.13	-249.02	
998	1996	CC_DChg  	2:00:17.000	70.11	70110.32	246.31	246306.56	390647.22	3645.5	2999.4	0.0	0.0	70.11	0.0	3544.7	130.065	0.00	70.11	0.00	246.31	70.11	246.31	
999	1997	CCCV_Chg  	2:08:50.000	70.15	70147.10	249.09	249092.63	398123.24	3016.8	3651.1	0.0	0.0	70.15	3587.5	0.0	248.749	70.15	0.00	249.09	0.00	-70.15	-249.09	
999	1998	CC_DChg  	2:00:16.000	70.11	70106.73	246.31	246307.88	390808.67	3645.5	2999.7	0.0	0.0	70.11	0.0	3544.7	140.210	0.00	70.11	0.00	246.31	70.11	246.31	
1000	1999	CCCV_Chg  	2:08:46.000	70.12	70119.62	249.00	249001.19	398532.74	3017.7	3651.1	0.0	0.0	70.12	3587.5	0.0	257.327	70.12	0.00	249.00	0.00	-70.12	-249.00	
1000	2000	CC_DChg  	2:00:17.000	70.12	70119.87	246.35	246349.32	391063.56	3645.5	3000.0	0.0	0.0	70.12	0.0	3544.7	140.175	0.00	70.12	0.00	246.35	70.12	246.35	
1001	2001	CCCV_Chg  	2:08:41.000	70.10	70097.59	248.93	248925.66	398030.49	3017.1	3651.1	0.0	0.0	70.10	3587.5	0.0	244.495	70.10	0.00	248.93	0.00	-70.10	-248.93	
1001	2002	CC_DChg  	2:00:22.000	70.16	70162.36	246.49	246488.84	390393.37	3645.5	2998.5	0.0	0.0	70.16	0.0	3544.7	140.175	0.00	70.16	0.00	246.49	70.16	246.49	
1002	2003	CC_Chg  	13:59:04.000	69.78	69782.38	247.32	247324.18	391669.10	3008.7	3650.1	0.0	0.0	69.78	3580.7	0.0	255.255	69.78	0.00	247.32	0.00	-69.78	-247.32	
1002	2004	CC_DChg  	14:13:54.000	71.02	71016.02	249.68	249678.12	394960.08	3647.3	3000.0	0.0	0.0	71.02	0.0	3545.6	280.561	0.00	71.02	0.00	249.68	71.02	249.68	
1003	2005	CCCV_Chg  	2:10:52.000	71.28	71281.13	252.88	252880.91	401018.99	3011.2	3651.1	0.0	0.0	71.28	3584.7	0.0	280.210	71.28	0.00	252.88	0.00	-71.28	-252.88	
1003	2006	CC_DChg  	2:00:21.000	70.16	70163.66	246.50	246498.73	390762.96	3645.5	2999.1	0.0	0.0	70.16	0.0	3544.7	140.175	0.00	70.16	0.00	246.50	70.16	246.50	
1004	2007	CCCV_Chg  	2:09:09.000	70.29	70285.64	249.59	249588.89	398909.52	3016.8	3651.1	0.0	0.0	70.29	3587.5	0.0	253.002	70.29	0.00	249.59	0.00	-70.29	-249.59	
1004	2008	CC_DChg  	2:00:20.000	70.15	70154.29	246.47	246472.76	391073.78	3645.5	2999.7	0.0	0.0	70.15	0.0	3544.7	140.456	0.00	70.15	0.00	246.47	70.15	246.47	
1005	2009	CCCV_Chg  	2:08:54.000	70.14	70143.73	249.10	249095.41	397665.26	3016.4	3651.4	0.0	0.0	70.14	3587.8	0.0	238.708	70.14	0.00	249.10	0.00	-70.14	-249.10	
1005	2010	CC_DChg  	2:00:23.000	70.18	70183.48	246.58	246583.85	390692.04	3645.5	2998.8	0.0	0.0	70.18	0.0	3545.0	147.685	0.00	70.18	0.00	246.58	70.18	246.58	
1006	2011	CCCV_Chg  	2:09:07.000	70.19	70191.59	249.26	249264.73	397560.95	3015.8	3651.4	0.0	0.0	70.19	3587.8	0.0	242.996	70.19	0.00	249.26	0.00	-70.19	-249.26	
1006	2012	CC_DChg  	2:00:19.000	70.14	70144.62	246.46	246460.08	391201.58	3645.5	3000.0	0.0	0.0	70.14	0.0	3545.0	148.055	0.00	70.14	0.00	246.46	70.14	246.46	
1007	2013	CCCV_Chg  	2:08:53.000	70.14	70136.26	249.07	249070.02	398250.08	3017.1	3651.1	0.0	0.0	70.14	3587.8	0.0	244.425	70.14	0.00	249.07	0.00	-70.14	-249.07	
1007	2014	CC_DChg  	2:00:20.000	70.15	70154.25	246.48	246477.72	390891.97	3645.5	2999.4	0.0	0.0	70.15	0.0	3544.7	140.105	0.00	70.15	0.00	246.48	70.15	246.48	
1008	2015	CCCV_Chg  	2:08:49.000	70.14	70143.86	249.10	249095.15	397916.64	3016.8	3651.4	0.0	0.0	70.14	3587.8	0.0	248.714	70.14	0.00	249.10	0.00	-70.14	-249.10	
1008	2016	CC_DChg  	2:00:16.000	70.12	70115.46	246.34	246341.38	390494.51	3645.5	2999.1	0.0	0.0	70.12	0.0	3544.7	147.685	0.00	70.12	0.00	246.34	70.12	246.34	
1009	2017	CCCV_Chg  	2:08:54.000	70.16	70157.66	249.14	249136.94	397744.24	3016.1	3651.1	0.0	0.0	70.16	3587.8	0.0	242.996	70.16	0.00	249.14	0.00	-70.16	-249.14	
1009	2018	CC_DChg  	2:00:14.000	70.09	70094.88	246.28	246276.04	390924.18	3645.5	3000.0	0.0	0.0	70.09	0.0	3544.7	140.105	0.00	70.09	0.00	246.28	70.09	246.28	
1010	2019	CCCV_Chg  	2:08:48.000	70.13	70132.12	249.05	249049.02	398038.20	3017.1	3651.4	0.0	0.0	70.13	3587.8	0.0	244.425	70.13	0.00	249.05	0.00	-70.13	-249.05	
1010	2020	CC_DChg  	2:00:18.000	70.13	70134.89	246.41	246410.64	390965.66	3645.5	2999.7	0.0	0.0	70.13	0.0	3544.7	147.648	0.00	70.13	0.00	246.41	70.13	246.41	
1011	2021	CCCV_Chg  	2:08:33.000	70.05	70054.71	248.78	248775.99	397348.29	3016.4	3651.1	0.0	0.0	70.05	3587.8	0.0	238.708	70.05	0.00	248.78	0.00	-70.05	-248.78	
1011	2022	CC_DChg  	2:00:19.000	70.14	70144.37	246.45	246446.54	391200.19	3645.5	3000.0	0.0	0.0	70.14	0.0	3544.7	140.456	0.00	70.14	0.00	246.45	70.14	246.45	
1012	2023	CCCV_Chg  	2:08:55.000	70.12	70120.46	249.01	249009.24	397972.03	3017.1	3651.4	0.0	0.0	70.12	3587.8	0.0	244.425	70.12	0.00	249.01	0.00	-70.12	-249.01	
1012	2024	CC_DChg  	2:00:13.000	70.09	70085.80	246.23	246231.61	390510.59	3645.5	2999.4	0.0	0.0	70.09	0.0	3544.7	147.611	0.00	70.09	0.00	246.23	70.09	246.23	
1013	2025	CCCV_Chg  	2:09:03.000	70.16	70164.56	249.17	249165.77	398034.08	3016.8	3651.4	0.0	0.0	70.16	3587.8	0.0	248.714	70.16	0.00	249.17	0.00	-70.16	-249.17	
1013	2026	CC_DChg  	2:00:21.000	70.16	70162.07	246.50	246501.55	391298.90	3645.5	3000.0	0.0	0.0	70.16	0.0	3544.7	147.611	0.00	70.16	0.00	246.50	70.16	246.50	
1014	2027	CCCV_Chg  	2:08:49.000	70.14	70135.87	249.06	249062.32	398247.82	3017.1	3651.1	0.0	0.0	70.14	3587.8	0.0	244.425	70.14	0.00	249.06	0.00	-70.14	-249.06	
1014	2028	CC_DChg  	2:00:17.000	70.12	70124.02	246.36	246364.82	390905.03	3645.5	2999.7	0.0	0.0	70.12	0.0	3544.7	140.175	0.00	70.12	0.00	246.36	70.12	246.36	
1015	2029	CCCV_Chg  	2:08:37.000	70.12	70117.72	248.99	248991.59	397705.69	3016.4	3651.1	0.0	0.0	70.12	3587.8	0.0	238.708	70.12	0.00	248.99	0.00	-70.12	-248.99	
1015	2030	CC_DChg  	2:00:13.000	70.08	70084.15	246.22	246223.46	390501.39	3645.5	2999.4	0.0	0.0	70.08	0.0	3544.7	140.175	0.00	70.08	0.00	246.22	70.08	246.22	
1016	2031	CCCV_Chg  	2:08:39.000	70.12	70119.29	249.00	248996.57	397526.69	3016.1	3651.1	0.0	0.0	70.12	3587.8	0.0	238.776	70.12	0.00	249.00	0.00	-70.12	-249.00	
1016	2032	CC_DChg  	2:00:15.000	70.10	70104.93	246.30	246297.66	390617.16	3645.5	2999.4	0.0	0.0	70.10	0.0	3544.7	140.105	0.00	70.10	0.00	246.30	70.10	246.30	
1017	2033	CCCV_Chg  	2:08:45.000	70.07	70073.47	248.84	248840.83	397266.91	3016.4	3651.4	0.0	0.0	70.07	3587.8	0.0	242.996	70.07	0.00	248.84	0.00	-70.07	-248.84	
1017	2034	CC_DChg  	2:00:17.000	70.13	70125.16	246.37	246371.33	390911.40	3645.5	2999.7	0.0	0.0	70.13	0.0	3544.7	147.722	0.00	70.13	0.00	246.37	70.13	246.37	
1018	2035	CCCV_Chg  	2:08:49.000	70.14	70139.46	249.08	249076.29	398079.88	3016.8	3651.1	0.0	0.0	70.14	3587.8	0.0	244.425	70.14	0.00	249.08	0.00	-70.14	-249.08	
1018	2036	CC_DChg  	2:00:18.000	70.13	70134.89	246.41	246412.62	390784.12	3645.5	2999.4	0.0	0.0	70.13	0.0	3544.7	140.140	0.00	70.13	0.00	246.41	70.13	246.41	
1019	2037	CCCV_Chg  	2:08:33.000	70.13	70126.20	249.03	249027.87	397378.12	3015.8	3651.1	0.0	0.0	70.13	3587.8	0.0	234.420	70.13	0.00	249.03	0.00	-70.13	-249.03	
1019	2038	CC_DChg  	2:00:16.000	70.12	70115.28	246.33	246334.27	390312.36	3645.5	2998.8	0.0	0.0	70.12	0.0	3544.7	140.245	0.00	70.12	0.00	246.33	70.12	246.33	
1020	2039	CCCV_Chg  	2:08:32.000	70.10	70102.00	248.94	248938.17	397428.66	3016.1	3651.1	0.0	0.0	70.10	3587.8	0.0	247.284	70.10	0.00	248.94	0.00	-70.10	-248.94	
1020	2040	CC_DChg  	2:00:16.000	70.12	70115.46	246.34	246337.81	390675.81	3645.5	2999.4	0.0	0.0	70.12	0.0	3544.7	140.527	0.00	70.12	0.00	246.34	70.12	246.34	
1021	2041	CCCV_Chg  	2:08:52.000	70.15	70153.21	249.13	249126.73	397719.01	3016.1	3651.1	0.0	0.0	70.15	3587.8	0.0	238.708	70.15	0.00	249.13	0.00	-70.15	-249.13	
1021	2042	CC_DChg  	2:00:12.000	70.08	70076.57	246.21	246211.10	390640.54	3645.5	2999.7	0.0	0.0	70.08	0.0	3544.7	140.105	0.00	70.08	0.00	246.21	70.08	246.21	
1022	2043	CCCV_Chg  	2:09:07.000	70.16	70164.93	249.17	249172.92	398224.40	3017.1	3651.4	0.0	0.0	70.16	3587.8	0.0	248.714	70.16	0.00	249.17	0.00	-70.16	-249.17	
1022	2044	CC_DChg  	2:00:15.000	70.11	70105.75	246.32	246318.64	390440.44	3645.5	2999.1	0.0	0.0	70.11	0.0	3545.0	148.092	0.00	70.11	0.00	246.32	70.11	246.32	
1023	2045	CCCV_Chg  	2:09:00.000	70.18	70184.57	249.24	249236.55	397521.18	3015.8	3651.4	0.0	0.0	70.18	3587.8	0.0	238.708	70.18	0.00	249.24	0.00	-70.18	-249.24	
1023	2046	CC_DChg  	2:00:19.000	70.14	70144.62	246.46	246455.18	391201.58	3645.5	3000.0	0.0	0.0	70.14	0.0	3545.0	147.611	0.00	70.14	0.00	246.46	70.14	246.46	
1024	2047	CCCV_Chg  	2:08:39.000	70.13	70129.49	249.05	249048.31	398211.64	3017.4	3651.4	0.0	0.0	70.13	3587.8	0.0	248.714	70.13	0.00	249.05	0.00	-70.13	-249.05	
1024	2048	CC_DChg  	2:00:18.000	70.13	70134.90	246.41	246410.95	390602.77	3645.5	2999.1	0.0	0.0	70.13	0.0	3544.7	147.648	0.00	70.13	0.00	246.41	70.13	246.41	
1025	2049	CCCV_Chg  	2:08:40.000	70.12	70121.45	249.01	249008.58	397351.20	3016.1	3651.4	0.0	0.0	70.12	3587.8	0.0	242.996	70.12	0.00	249.01	0.00	-70.12	-249.01	
1025	2050	CC_DChg  	2:00:15.000	70.11	70105.73	246.31	246310.20	390803.10	3645.5	2999.7	0.0	0.0	70.11	0.0	3544.7	147.611	0.00	70.11	0.00	246.31	70.11	246.31	
1026	2051	CCCV_Chg  	2:08:51.000	70.11	70109.01	248.97	248971.08	397907.03	3017.1	3651.4	0.0	0.0	70.11	3587.8	0.0	248.714	70.11	0.00	248.97	0.00	-70.11	-248.97	
1026	2052	CC_DChg  	2:00:19.000	70.14	70144.61	246.45	246445.63	390838.28	3645.5	2999.4	0.0	0.0	70.14	0.0	3544.7	147.685	0.00	70.14	0.00	246.45	70.14	246.45	
1027	2053	CCCV_Chg  	2:08:10.000	70.07	70067.39	248.82	248815.80	397232.43	3016.4	3651.4	0.0	0.0	70.07	3587.8	0.0	242.996	70.07	0.00	248.82	0.00	-70.07	-248.82	
1027	2054	CC_DChg  	2:00:10.000	70.06	70057.17	246.14	246138.22	390351.03	3645.5	2999.4	0.0	0.0	70.06	0.0	3544.7	147.907	0.00	70.06	0.00	246.14	70.06	246.14	
1028	2055	CCCV_Chg  	2:08:56.000	70.11	70106.48	248.95	248954.03	397454.08	3016.1	3651.1	0.0	0.0	70.11	3587.8	0.0	238.708	70.11	0.00	248.95	0.00	-70.11	-248.95	
1028	2056	CC_DChg  	2:00:16.000	70.12	70115.47	246.35	246345.26	390675.87	3645.5	2999.4	0.0	0.0	70.12	0.0	3544.7	140.105	0.00	70.12	0.00	246.35	70.12	246.35	
1029	2057	CCCV_Chg  	2:08:46.000	70.13	70127.58	249.03	249031.09	397198.40	3015.5	3651.1	0.0	0.0	70.13	3587.8	0.0	230.132	70.13	0.00	249.03	0.00	-70.13	-249.03	
1029	2058	CC_DChg  	2:00:15.000	70.11	70105.72	246.30	246304.19	390621.58	3645.5	2999.4	0.0	0.0	70.11	0.0	3544.7	140.210	0.00	70.11	0.00	246.30	70.11	246.30	
1030	2059	CCCV_Chg  	2:08:46.000	70.13	70134.38	249.05	249053.07	397800.19	3016.4	3651.1	0.0	0.0	70.13	3587.8	0.0	242.996	70.13	0.00	249.05	0.00	-70.13	-249.05	
1030	2060	CC_DChg  	2:00:10.000	70.06	70057.06	246.13	246134.39	390531.76	3645.5	2999.7	0.0	0.0	70.06	0.0	3544.7	140.175	0.00	70.06	0.00	246.13	70.06	246.13	
1031	2061	CCCV_Chg  	2:08:49.000	70.13	70132.43	249.05	249050.54	397851.81	3016.8	3651.4	0.0	0.0	70.13	3587.8	0.0	244.460	70.13	0.00	249.05	0.00	-70.13	-249.05	
1031	2062	CC_DChg  	2:00:15.000	70.11	70105.74	246.31	246309.35	390984.77	3645.5	3000.0	0.0	0.0	70.11	0.0	3544.7	147.870	0.00	70.11	0.00	246.31	70.11	246.31	
1032	2063	CCCV_Chg  	2:08:52.000	70.15	70152.42	249.12	249123.06	398530.39	3017.4	3651.1	0.0	0.0	70.15	3587.8	0.0	248.714	70.15	0.00	249.12	0.00	-70.15	-249.12	
1032	2064	CC_DChg  	2:00:13.000	70.09	70086.18	246.24	246244.29	390331.45	3645.5	2999.1	0.0	0.0	70.09	0.0	3544.7	140.210	0.00	70.09	0.00	246.24	70.09	246.24	
1033	2065	CCCV_Chg  	2:08:36.000	70.11	70108.94	248.96	248959.55	397280.31	3015.8	3651.1	0.0	0.0	70.11	3587.8	0.0	238.708	70.11	0.00	248.96	0.00	-70.11	-248.96	
1033	2066	CC_DChg  	2:00:11.000	70.07	70066.28	246.17	246171.26	390583.15	3645.5	2999.7	0.0	0.0	70.07	0.0	3544.7	140.140	0.00	70.07	0.00	246.17	70.07	246.17	
1034	2067	CCCV_Chg  	2:08:34.000	70.09	70088.21	248.89	248889.24	397788.98	3016.8	3651.1	0.0	0.0	70.09	3587.8	0.0	244.425	70.09	0.00	248.89	0.00	-70.09	-248.89	
