Cycle_ID	Step_ID	Step_Type	Step_Time	Capacity	Capacity_Density	Energy	CmpEngergy	Capacitance	Start_Voltage	End_Voltage	Start_Temperature	End_Temperature	End_Capacity	Charge_Mid-Vol	Discharge_Mid-Vol	DCIR	ChargeCap	DischargeCap	Engy_Chg	Engy_DChg	Net_DischargeCap	Net_Engy_DChg
33	65	CCCV_Chg  	2:10:52.000	72.35	72352.38	257.14	257136.99	442447.04	3062.0	3650.7	0.0	0.0	72.35	3583.8	0.0	899.600	72.35	0.00	257.14	0.00	-72.35	-257.14	
33	66	CC_DChg  	2:04:06.000	72.32	72318.98	253.85	253854.46	403328.16	3645.2	2999.7	0.0	0.0	72.32	0.0	3551.2	137.638	0.00	72.32	0.00	253.85	72.32	253.85	
34	67	CCCV_Chg  	2:11:01.000	72.41	72405.18	257.34	257338.08	442995.67	3062.3	3650.7	0.0	0.0	72.41	3584.7	0.0	895.181	72.41	0.00	257.34	0.00	-72.41	-257.34	
34	68	CC_DChg  	2:04:05.000	72.32	72319.76	253.86	253857.77	402584.10	3645.2	2998.5	0.0	0.0	72.32	0.0	3551.5	137.672	0.00	72.32	0.00	253.86	72.32	253.86	
35	69	CCCV_Chg  	2:10:58.000	72.40	72397.26	257.29	257287.95	440625.78	3059.2	3650.7	0.0	0.0	72.40	3583.8	0.0	867.887	72.40	0.00	257.29	0.00	-72.40	-257.29	
35	70	CC_DChg  	2:04:08.000	72.35	72349.04	253.96	253962.24	403121.11	3645.5	2999.4	0.0	0.0	72.35	0.0	3551.5	130.130	0.00	72.35	0.00	253.96	72.35	253.96	
36	71	CCCV_Chg  	2:11:14.000	72.44	72439.95	257.44	257437.55	440885.60	3059.2	3650.7	0.0	0.0	72.44	3583.8	0.0	855.019	72.44	0.00	257.44	0.00	-72.44	-257.44	
36	72	CC_DChg  	2:04:15.000	72.42	72417.02	254.20	254198.88	403125.51	3645.5	2998.8	0.0	0.0	72.42	0.0	3551.5	130.195	0.00	72.42	0.00	254.20	72.42	254.20	
37	73	CCCV_Chg  	2:10:53.000	72.37	72368.11	257.17	257170.06	440002.03	3058.6	3650.7	0.0	0.0	72.37	3583.8	0.0	855.019	72.37	0.00	257.17	0.00	-72.37	-257.17	
37	74	CC_DChg  	2:04:06.000	72.31	72313.79	253.83	253827.89	403111.86	3645.5	2999.7	0.0	0.0	72.31	0.0	3551.2	130.358	0.00	72.31	0.00	253.83	72.31	253.83	
38	75	CCCV_Chg  	2:11:09.000	72.40	72398.93	257.27	257266.27	439966.46	3058.3	3650.7	0.0	0.0	72.40	3583.8	0.0	838.101	72.40	0.00	257.27	0.00	-72.40	-257.27	
38	76	CC_DChg  	2:04:07.000	72.32	72318.88	253.84	253837.39	403140.24	3645.2	2999.4	0.0	0.0	72.32	0.0	3551.2	137.672	0.00	72.32	0.00	253.84	72.32	253.84	
39	77	CCCV_Chg  	2:11:13.000	72.41	72411.99	257.32	257315.34	440715.44	3059.2	3650.7	0.0	0.0	72.41	3583.8	0.0	855.263	72.41	0.00	257.32	0.00	-72.41	-257.32	
39	78	CC_DChg  	2:04:14.000	72.40	72404.96	254.15	254147.97	403432.70	3645.5	2999.4	0.0	0.0	72.40	0.0	3551.2	130.195	0.00	72.40	0.00	254.15	72.40	254.15	
40	79	CCCV_Chg  	2:11:06.000	72.44	72439.44	257.40	257403.97	438141.77	3055.5	3650.7	0.0	0.0	72.44	3583.8	0.0	802.116	72.44	0.00	257.40	0.00	-72.44	-257.40	
40	80	CC_DChg  	2:04:08.000	72.35	72349.01	253.96	253955.35	403495.65	3645.5	3000.0	0.0	0.0	72.35	0.0	3551.2	130.228	0.00	72.35	0.00	253.96	72.35	253.96	
41	81	CCCV_Chg  	2:10:51.000	72.40	72395.68	257.25	257246.31	438318.95	3056.1	3650.7	0.0	0.0	72.40	3583.8	0.0	802.116	72.40	0.00	257.25	0.00	-72.40	-257.25	
41	82	CC_DChg  	2:04:11.000	72.38	72378.19	254.07	254068.98	403096.33	3645.5	2999.1	0.0	0.0	72.38	0.0	3551.5	130.098	0.00	72.38	0.00	254.07	72.38	254.07	
42	83	CCCV_Chg  	2:11:18.000	72.46	72461.86	257.49	257485.14	437835.99	3054.9	3650.7	0.0	0.0	72.46	3583.8	0.0	797.827	72.46	0.00	257.49	0.00	-72.46	-257.49	
42	84	CC_DChg  	2:04:14.000	72.41	72406.05	254.16	254164.45	403626.17	3645.5	2999.7	0.0	0.0	72.41	0.0	3551.2	130.326	0.00	72.41	0.00	254.16	72.41	254.16	
43	85	CCCV_Chg  	2:10:52.000	72.40	72399.76	257.24	257244.05	438122.61	3055.8	3650.7	0.0	0.0	72.40	3583.5	0.0	802.231	72.40	0.00	257.24	0.00	-72.40	-257.24	
43	86	CC_DChg  	2:04:08.000	72.33	72334.62	253.89	253892.05	403415.37	3645.2	2999.7	0.0	0.0	72.33	0.0	3550.9	137.845	0.00	72.33	0.00	253.89	72.33	253.89	
44	87	CCCV_Chg  	2:11:04.000	72.41	72406.44	257.26	257255.92	437061.03	3054.3	3650.7	0.0	0.0	72.41	3583.2	0.0	780.892	72.41	0.00	257.26	0.00	-72.41	-257.26	
44	88	CC_DChg  	2:04:10.000	72.35	72353.57	253.96	253956.22	403333.62	3645.2	2999.4	0.0	0.0	72.35	0.0	3550.9	137.638	0.00	72.35	0.00	253.96	72.35	253.96	
45	89	CCCV_Chg  	2:10:50.000	72.38	72380.38	257.17	257168.88	436391.53	3053.6	3650.7	0.0	0.0	72.38	3583.5	0.0	775.061	72.38	0.00	257.17	0.00	-72.38	-257.17	
45	90	CC_DChg  	2:04:13.000	72.40	72397.44	254.12	254118.64	403578.18	3645.2	2999.4	0.0	0.0	72.40	0.0	3551.2	137.810	0.00	72.40	0.00	254.12	72.40	254.12	
46	91	CCCV_Chg  	2:11:02.000	72.41	72414.62	257.29	257285.28	436378.67	3053.3	3650.7	0.0	0.0	72.41	3583.5	0.0	770.661	72.41	0.00	257.29	0.00	-72.41	-257.29	
46	92	CC_DChg  	2:04:16.000	72.43	72426.75	254.23	254227.93	403929.22	3645.5	3000.0	0.0	0.0	72.43	0.0	3551.2	130.391	0.00	72.43	0.00	254.23	72.43	254.23	
47	93	CCCV_Chg  	2:10:55.000	72.43	72433.22	257.35	257347.01	435834.16	3052.4	3650.7	0.0	0.0	72.43	3583.5	0.0	749.214	72.43	0.00	257.35	0.00	-72.43	-257.35	
47	94	CC_DChg  	2:04:11.000	72.38	72378.19	254.07	254065.28	403658.37	3645.5	3000.0	0.0	0.0	72.38	0.0	3551.2	130.228	0.00	72.38	0.00	254.07	72.38	254.07	
48	95	CCCV_Chg  	2:11:03.000	72.42	72420.40	257.29	257294.24	435320.50	3051.8	3650.7	0.0	0.0	72.42	3583.5	0.0	740.635	72.42	0.00	257.29	0.00	-72.42	-257.29	
48	96	CC_DChg  	2:04:14.000	72.40	72395.88	254.11	254112.69	403569.46	3645.2	2999.4	0.0	0.0	72.40	0.0	3550.9	137.638	0.00	72.40	0.00	254.11	72.40	254.11	
49	97	CCCV_Chg  	2:10:56.000	72.39	72394.28	257.19	257190.41	434727.94	3050.9	3650.4	0.0	0.0	72.39	3583.2	0.0	736.556	72.39	0.00	257.19	0.00	-72.39	-257.19	
49	98	CC_DChg  	2:04:09.000	72.34	72338.31	253.90	253901.65	403435.96	3645.2	2999.7	0.0	0.0	72.34	0.0	3550.9	130.163	0.00	72.34	0.00	253.90	72.34	253.90	
50	99	CCCV_Chg  	2:11:12.000	72.44	72438.46	257.35	257347.38	435211.03	3051.5	3650.7	0.0	0.0	72.44	3583.2	0.0	740.847	72.44	0.00	257.35	0.00	-72.44	-257.35	
50	100	CC_DChg  	2:04:10.000	72.36	72356.82	253.98	253977.10	403539.23	3645.2	2999.7	0.0	0.0	72.36	0.0	3550.9	137.776	0.00	72.36	0.00	253.98	72.36	253.98	
51	101	CCCV_Chg  	2:11:00.000	72.44	72439.05	257.35	257351.10	434489.45	3050.5	3650.7	0.0	0.0	72.44	3583.2	0.0	726.441	72.44	0.00	257.35	0.00	-72.44	-257.35	
51	102	CC_DChg  	2:04:13.000	72.40	72397.41	254.13	254127.77	403577.98	3645.5	2999.7	0.0	0.0	72.40	0.0	3550.9	130.293	0.00	72.40	0.00	254.13	72.40	254.13	
52	103	CC_Chg  	14:33:11.000	72.62	72619.75	257.46	257456.58	422685.68	3031.6	3650.1	0.0	0.0	72.62	3581.9	0.0	798.298	72.62	0.00	257.46	0.00	-72.62	-257.46	
52	104	CC_DChg  	14:53:24.000	74.30	74301.07	260.99	260994.08	413038.68	3647.6	3000.0	0.0	0.0	74.30	0.0	3544.7	250.501	0.00	74.30	0.00	260.99	74.30	260.99	
53	105	CCCV_Chg  	2:14:15.000	74.17	74169.34	263.07	263068.72	421816.13	3017.7	3650.7	0.0	0.0	74.17	3578.2	0.0	442.943	74.17	0.00	263.07	0.00	-74.17	-263.07	
53	106	CC_DChg  	2:04:10.000	72.37	72365.82	254.01	254011.58	403401.94	3645.5	2999.7	0.0	0.0	72.37	0.0	3550.9	130.457	0.00	72.37	0.00	254.01	72.37	254.01	
54	107	CCCV_Chg  	2:11:24.000	72.52	72524.22	257.63	257632.68	433052.21	3047.8	3650.7	0.0	0.0	72.52	3582.8	0.0	687.831	72.52	0.00	257.63	0.00	-72.52	-257.63	
54	108	CC_DChg  	2:04:10.000	72.36	72356.99	253.97	253974.05	403727.81	3645.2	3000.0	0.0	0.0	72.36	0.0	3550.9	137.741	0.00	72.36	0.00	253.97	72.36	253.97	
55	109	CCCV_Chg  	2:11:24.000	72.48	72483.92	257.48	257481.38	432524.65	3047.4	3650.7	0.0	0.0	72.48	3583.2	0.0	677.918	72.48	0.00	257.48	0.00	-72.48	-257.48	
